{'name': 'kworker/R-hfi-u', 'ppid': 2, 'pid': 123, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-mld', 'ppid': 2, 'pid': 125, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-ipv6_', 'ppid': 2, 'pid': 126, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/5:1H', 'ppid': 2, 'pid': 127, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-kstrp', 'ppid': 2, 'pid': 134, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/7:1-i915-unordered', 'ppid': 2, 'pid': 137, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/11:1-events', 'ppid': 2, 'pid': 138, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/u25:0-i915_flip', 'ppid': 2, 'pid': 140, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-charg', 'ppid': 2, 'pid': 154, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/11:1H-kblockd', 'ppid': 2, 'pid': 178, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/0:1H-events_highpri', 'ppid': 2, 'pid': 181, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/10:1H-kblockd', 'ppid': 2, 'pid': 196, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/4:1H-kblockd', 'ppid': 2, 'pid': 199, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/6:1H-kblockd', 'ppid': 2, 'pid': 200, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/3:1H-kblockd', 'ppid': 2, 'pid': 207, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/7:1H-events_highpri', 'ppid': 2, 'pid': 228, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/1:1H-kblockd', 'ppid': 2, 'pid': 229, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/9:1H-events_highpri', 'ppid': 2, 'pid': 230, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/2:1H-kblockd', 'ppid': 2, 'pid': 231, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-nvme-', 'ppid': 2, 'pid': 259, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-nvme-', 'ppid': 2, 'pid': 260, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-nvme-', 'ppid': 2, 'pid': 261, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-nvme-', 'ppid': 2, 'pid': 262, 'username': 'root', 'status': 'idle'}
{'name': 'irq/153-ELAN0790:00', 'ppid': 2, 'pid': 321, 'username': 'root', 'status': 'sleeping'}
{'name': 'jbd2/nvme0n1p2-8', 'ppid': 2, 'pid': 360, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-ext4-', 'ppid': 2, 'pid': 361, 'username': 'root', 'status': 'idle'}
{'name': 'systemd-journald', 'ppid': 1, 'pid': 411, 'username': 'root', 'status': 'sleeping'}
{'name': 'systemd-udevd', 'ppid': 1, 'pid': 511, 'username': 'root', 'status': 'sleeping'}
{'name': 'psimon', 'ppid': 2, 'pid': 599, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/u24:17-events_unbound', 'ppid': 2, 'pid': 658, 'username': 'root', 'status': 'idle'}
{'name': 'irq/154-mei_me', 'ppid': 2, 'pid': 723, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-cfg80', 'ppid': 2, 'pid': 781, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-crypt', 'ppid': 2, 'pid': 784, 'username': 'root', 'status': 'idle'}
{'name': 'irq/16-processor_thermal_device_pci', 'ppid': 2, 'pid': 800, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-ttm', 'ppid': 2, 'pid': 801, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/u25:2-i915_flip', 'ppid': 2, 'pid': 806, 'username': 'root', 'status': 'idle'}
{'name': 'card1-crtc0', 'ppid': 2, 'pid': 813, 'username': 'root', 'status': 'sleeping'}
{'name': 'card1-crtc1', 'ppid': 2, 'pid': 814, 'username': 'root', 'status': 'sleeping'}
{'name': 'card1-crtc2', 'ppid': 2, 'pid': 815, 'username': 'root', 'status': 'sleeping'}
{'name': 'card1-crtc3', 'ppid': 2, 'pid': 816, 'username': 'root', 'status': 'sleeping'}
{'name': 'napi/phy0-8193', 'ppid': 2, 'pid': 917, 'username': 'root', 'status': 'sleeping'}
{'name': 'napi/phy0-8194', 'ppid': 2, 'pid': 924, 'username': 'root', 'status': 'sleeping'}
{'name': 'napi/phy0-8195', 'ppid': 2, 'pid': 935, 'username': 'root', 'status': 'sleeping'}
{'name': 'systemd-oomd', 'ppid': 1, 'pid': 977, 'username': 'systemd-oom', 'status': 'sleeping'}
{'name': 'systemd-resolved', 'ppid': 1, 'pid': 980, 'username': 'systemd-resolve', 'status': 'sleeping'}
{'name': 'systemd-timesyncd', 'ppid': 1, 'pid': 981, 'username': 'systemd-timesync', 'status': 'sleeping'}
{'name': 'accounts-daemon', 'ppid': 1, 'pid': 1123, 'username': 'root', 'status': 'sleeping'}
{'name': 'avahi-daemon', 'ppid': 1, 'pid': 1125, 'username': 'avahi', 'status': 'sleeping'}
{'name': 'bluetoothd', 'ppid': 1, 'pid': 1126, 'username': 'root', 'status': 'sleeping'}
{'name': 'cron', 'ppid': 1, 'pid': 1127, 'username': 'root', 'status': 'sleeping'}
{'name': 'dbus-daemon', 'ppid': 1, 'pid': 1128, 'username': 'messagebus', 'status': 'sleeping'}
{'name': 'gnome-remote-desktop-daemon', 'ppid': 1, 'pid': 1131, 'username': 'gnome-remote-desktop', 'status': 'sleeping'}
{'name': 'polkitd', 'ppid': 1, 'pid': 1135, 'username': 'polkitd', 'status': 'sleeping'}
{'name': 'power-profiles-daemon', 'ppid': 1, 'pid': 1138, 'username': 'root', 'status': 'sleeping'}
{'name': 'snapd', 'ppid': 1, 'pid': 1152, 'username': 'root', 'status': 'sleeping'}
{'name': 'switcheroo-control', 'ppid': 1, 'pid': 1157, 'username': 'root', 'status': 'sleeping'}
{'name': 'systemd-logind', 'ppid': 1, 'pid': 1158, 'username': 'root', 'status': 'sleeping'}
{'name': 'thermald', 'ppid': 1, 'pid': 1159, 'username': 'root', 'status': 'sleeping'}
{'name': 'udisksd', 'ppid': 1, 'pid': 1160, 'username': 'root', 'status': 'sleeping'}
{'name': 'avahi-daemon', 'ppid': 1125, 'pid': 1173, 'username': 'avahi', 'status': 'sleeping'}
{'name': 'NetworkManager', 'ppid': 1, 'pid': 1186, 'username': 'root', 'status': 'sleeping'}
{'name': 'wpa_supplicant', 'ppid': 1, 'pid': 1188, 'username': 'root', 'status': 'sleeping'}
{'name': 'rsyslogd', 'ppid': 1, 'pid': 1221, 'username': 'syslog', 'status': 'sleeping'}
{'name': 'kworker/6:3-events', 'ppid': 2, 'pid': 1222, 'username': 'root', 'status': 'idle'}
{'name': 'ModemManager', 'ppid': 1, 'pid': 1259, 'username': 'root', 'status': 'sleeping'}
{'name': 'upowerd', 'ppid': 1, 'pid': 1261, 'username': 'root', 'status': 'sleeping'}
{'name': 'mt76-tx phy0', 'ppid': 2, 'pid': 1320, 'username': 'root', 'status': 'sleeping'}
{'name': 'irq/157-AudioDSP', 'ppid': 2, 'pid': 1330, 'username': 'root', 'status': 'sleeping'}
{'name': 'cupsd', 'ppid': 1, 'pid': 1536, 'username': 'root', 'status': 'sleeping'}
{'name': 'run-cups-browse', 'ppid': 1, 'pid': 1551, 'username': 'root', 'status': 'sleeping'}
{'name': 'run-cupsd', 'ppid': 1, 'pid': 1555, 'username': 'root', 'status': 'sleeping'}
{'name': 'unattended-upgr', 'ppid': 1, 'pid': 1564, 'username': 'root', 'status': 'sleeping'}
{'name': 'containerd', 'ppid': 1, 'pid': 1585, 'username': 'root', 'status': 'sleeping'}
{'name': 'dbus', 'ppid': 1536, 'pid': 1630, 'username': 'lp', 'status': 'sleeping'}
{'name': 'gdm3', 'ppid': 1, 'pid': 1670, 'username': 'root', 'status': 'sleeping'}
{'name': 'mysqld', 'ppid': 1, 'pid': 1721, 'username': 'mysql', 'status': 'sleeping'}
{'name': 'rtkit-daemon', 'ppid': 1, 'pid': 1887, 'username': 'rtkit', 'status': 'sleeping'}
{'name': 'krfcommd', 'ppid': 2, 'pid': 2061, 'username': 'root', 'status': 'sleeping'}
{'name': 'colord', 'ppid': 1, 'pid': 2185, 'username': 'colord', 'status': 'sleeping'}
{'name': 'cupsd', 'ppid': 1555, 'pid': 2572, 'username': 'root', 'status': 'sleeping'}
{'name': 'cups-proxyd', 'ppid': 1555, 'pid': 2573, 'username': 'root', 'status': 'sleeping'}
{'name': 'run-cups-browse', 'ppid': 1551, 'pid': 2646, 'username': 'root', 'status': 'sleeping'}
{'name': 'sleep', 'ppid': 2646, 'pid': 2648, 'username': 'root', 'status': 'sleeping'}
{'name': 'cups-browsed', 'ppid': 1, 'pid': 2652, 'username': 'cups-browsed', 'status': 'sleeping'}
{'name': 'dockerd', 'ppid': 1, 'pid': 2653, 'username': 'root', 'status': 'sleeping'}
{'name': 'kerneloops', 'ppid': 1, 'pid': 2655, 'username': 'kernoops', 'status': 'sleeping'}
{'name': 'kerneloops', 'ppid': 1, 'pid': 2658, 'username': 'kernoops', 'status': 'sleeping'}
{'name': 'gdm-session-worker', 'ppid': 1670, 'pid': 3026, 'username': 'root', 'status': 'sleeping'}
{'name': 'systemd', 'ppid': 1, 'pid': 3039, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'kworker/3:3-events', 'ppid': 2, 'pid': 3040, 'username': 'root', 'status': 'idle'}
{'name': '(sd-pam)', 'ppid': 3039, 'pid': 3045, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'pipewire', 'ppid': 3039, 'pid': 3059, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'pipewire', 'ppid': 3039, 'pid': 3060, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'wireplumber', 'ppid': 3039, 'pid': 3064, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'pipewire-pulse', 'ppid': 3039, 'pid': 3066, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gnome-keyring-daemon', 'ppid': 3039, 'pid': 3067, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'dbus-daemon', 'ppid': 3039, 'pid': 3081, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'xdg-document-portal', 'ppid': 3039, 'pid': 3122, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'xdg-permission-store', 'ppid': 3039, 'pid': 3128, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'fusermount3', 'ppid': 3122, 'pid': 3135, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gdm-x-session', 'ppid': 3026, 'pid': 3168, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'Xorg', 'ppid': 3168, 'pid': 3174, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gnome-session-binary', 'ppid': 3168, 'pid': 3192, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'at-spi-bus-launcher', 'ppid': 3039, 'pid': 3285, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'dbus-daemon', 'ppid': 3285, 'pid': 3292, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gcr-ssh-agent', 'ppid': 3039, 'pid': 3305, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gnome-session-ctl', 'ppid': 3039, 'pid': 3306, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfsd', 'ppid': 3039, 'pid': 3320, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfsd-fuse', 'ppid': 3039, 'pid': 3328, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gnome-session-binary', 'ppid': 3039, 'pid': 3331, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gnome-shell', 'ppid': 3039, 'pid': 3374, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'mutter-x11-frames', 'ppid': 3374, 'pid': 3397, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'at-spi2-registryd', 'ppid': 3039, 'pid': 3403, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gnome-shell-calendar-server', 'ppid': 3039, 'pid': 3434, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'evolution-source-registry', 'ppid': 3039, 'pid': 3442, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gjs', 'ppid': 3039, 'pid': 3454, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'ibus-daemon', 'ppid': 3039, 'pid': 3480, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-a11y-settings', 'ppid': 3039, 'pid': 3481, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-color', 'ppid': 3039, 'pid': 3484, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-datetime', 'ppid': 3039, 'pid': 3486, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-housekeeping', 'ppid': 3039, 'pid': 3488, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-keyboard', 'ppid': 3039, 'pid': 3490, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-media-keys', 'ppid': 3039, 'pid': 3496, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-power', 'ppid': 3039, 'pid': 3497, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-print-notifications', 'ppid': 3039, 'pid': 3503, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-rfkill', 'ppid': 3039, 'pid': 3510, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-screensaver-proxy', 'ppid': 3039, 'pid': 3514, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-sharing', 'ppid': 3039, 'pid': 3520, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-smartcard', 'ppid': 3039, 'pid': 3528, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-sound', 'ppid': 3039, 'pid': 3539, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-wacom', 'ppid': 3039, 'pid': 3543, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-xsettings', 'ppid': 3039, 'pid': 3546, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-disk-utility-notify', 'ppid': 3331, 'pid': 3557, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'evolution-alarm-notify', 'ppid': 3331, 'pid': 3561, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfs-udisks2-volume-monitor', 'ppid': 3039, 'pid': 3562, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'ibus-dconf', 'ppid': 3480, 'pid': 3610, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'ibus-extension-gtk3', 'ppid': 3480, 'pid': 3613, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'ibus-x11', 'ppid': 3039, 'pid': 3617, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'goa-daemon', 'ppid': 3039, 'pid': 3625, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'ibus-portal', 'ppid': 3039, 'pid': 3630, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gsd-printer', 'ppid': 3039, 'pid': 3648, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'goa-identity-service', 'ppid': 3039, 'pid': 3681, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'evolution-calendar-factory', 'ppid': 3039, 'pid': 3694, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfs-afc-volume-monitor', 'ppid': 3039, 'pid': 3726, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'evolution-addressbook-factory', 'ppid': 3039, 'pid': 3740, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfs-goa-volume-monitor', 'ppid': 3039, 'pid': 3741, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfs-gphoto2-volume-monitor', 'ppid': 3039, 'pid': 3749, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfs-mtp-volume-monitor', 'ppid': 3039, 'pid': 3758, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gjs', 'ppid': 3039, 'pid': 3782, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'ibus-engine-simple', 'ppid': 3480, 'pid': 3801, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'tracker-miner-fs-3', 'ppid': 3039, 'pid': 3809, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'gvfsd-trash', 'ppid': 3320, 'pid': 3848, 'username': 'pawar', 'status': 'sleeping'}
{'name': 'dconf-service', 'ppid': 3039, 'pid': 3863, 'username': 'pawar', 'status': 'sleeping'}
